ID,Age,Gender,Grade,Result
254,23,Female,Postgraduate,Average
255,19,Female,Undergraduate,Poor
256,22,Female,High School,Good
257,17,Male,Postgraduate,Poor
258,24,Male,Postgraduate,Good
259,20,Female,Undergraduate,Poor
260,17,Male,High School,Average
261,22,Other,High School,Average
262,21,Other,Undergraduate,Good
263,25,Male,Undergraduate,Good
264,16,Male,Undergraduate,Good
265,19,Male,Postgraduate,Poor
266,17,Male,High School,Average
267,19,Male,High School,Good
268,23,Female,Undergraduate,Poor
269,23,Male,Postgraduate,Average
270,23,Female,High School,Average
271,21,Male,High School,Poor
272,19,Female,High School,Good
273,22,Male,Postgraduate,Good
274,19,Male,High School,Average
275,21,Male,Postgraduate,Poor
276,17,Other,High School,Good
277,21,Male,Postgraduate,Good
278,25,Female,Undergraduate,Average
279,17,Male,Postgraduate,Poor
280,19,Other,Undergraduate,Average
281,25,Other,Undergraduate,Poor
282,17,Other,Undergraduate,Poor
283,21,Male,Undergraduate,Poor
284,22,Other,Undergraduate,Good
285,17,Female,Postgraduate,Good
286,,Other,Postgraduate,Poor
287,16,Other,High School,Good
288,23,Female,Postgraduate,Poor
289,16,Female,Undergraduate,Average
290,19,Male,High School,Average
291,16,Male,High School,Average
292,22,Other,Undergraduate,Average
293,18,Male,High School,Good
294,23,Other,Postgraduate,Poor
295,21,Female,Postgraduate,Poor
296,17,Other,High School,Poor
297,16,Female,Postgraduate,Average
298,16,Female,Postgraduate,Good
299,18,Male,Postgraduate,Good
300,22,Male,High School,Average
301,21,Male,High School,Average
302,25,Other,Undergraduate,Average
303,17,Other,Undergraduate,Average
304,21,Female,Postgraduate,Good
305,19,Other,High School,Good
306,22,Female,High School,Good
307,20,Other,Postgraduate,Poor
308,23,Female,Postgraduate,Average
309,17,Female,High School,Average
310,22,Male,Postgraduate,Good
311,16,Other,Undergraduate,Average
312,19,Male,Undergraduate,Poor
313,17,Other,Undergraduate,Poor
314,19,Female,Postgraduate,Poor
315,16,Female,Undergraduate,Poor
316,24,Other,Postgraduate,Good
317,21,Male,Postgraduate,Good
318,17,Male,Undergraduate,Good
319,20,Female,Postgraduate,Poor
320,19,Male,Postgraduate,Good
321,18,Female,Postgraduate,Good
322,18,Other,Undergraduate,Average
323,16,Female,Postgraduate,Poor
324,18,Female,Postgraduate,Poor
325,16,Other,Undergraduate,Poor
326,18,Male,Undergraduate,Average
327,23,Male,Postgraduate,Good
328,25,Male,Undergraduate,Poor
329,16,Male,High School,Good
330,19,Male,High School,Poor
331,25,Other,Undergraduate,Good
332,23,Other,High School,Poor
333,16,Female,Postgraduate,Poor
334,21,Other,Postgraduate,Poor
335,20,Female,High School,Good
336,22,Other,Postgraduate,Average
337,16,Female,Undergraduate,Poor
338,23,Female,Postgraduate,Poor
339,24,Female,Postgraduate,Average
340,24,Female,High School,Good
341,17,Male,Postgraduate,Good
342,16,Male,High School,Good
343,17,Other,Undergraduate,Poor
344,23,Female,High School,Good
345,21,Male,Undergraduate,Average
346,19,Male,Postgraduate,Good
347,16,Male,High School,Poor
348,20,Female,Postgraduate,Average
349,24,Other,Undergraduate,Good
350,20,Male,Undergraduate,Good
351,25,Male,Postgraduate,Good
352,19,Male,Postgraduate,Average
353,21,Male,Undergraduate,Poor
354,17,Male,Undergraduate,Poor
355,24,Female,Undergraduate,Poor
356,16,Female,High School,Average
357,25,Other,Undergraduate,Poor
358,17,Female,Undergraduate,Good
359,21,Male,Undergraduate,Average
360,24,Other,High School,Average
361,24,Male,Postgraduate,Average
362,20,Male,Undergraduate,Good
363,22,Other,Undergraduate,Good
364,24,Female,Postgraduate,Average
365,23,Female,Postgraduate,Good
366,25,Other,Undergraduate,Average
367,18,Other,Postgraduate,Good
368,16,Other,Postgraduate,Average
369,16,Other,High School,Poor
370,25,Female,Undergraduate,Average
371,25,Female,Postgraduate,Average
372,21,Male,Postgraduate,Good
373,19,Male,Postgraduate,Average
374,21,Other,Postgraduate,Good
375,21,Female,High School,Poor
376,18,Other,Undergraduate,Poor
377,18,Female,High School,Good
378,23,Other,Undergraduate,Average
379,19,Other,Postgraduate,Good
380,17,Male,Postgraduate,Average
381,19,Male,Undergraduate,Average
382,25,Male,Postgraduate,Average
383,19,Female,Postgraduate,Poor
384,22,Other,High School,Good
385,18,Other,Postgraduate,Good
386,19,Female,Postgraduate,Poor
387,17,Male,Postgraduate,Good
388,25,Male,Postgraduate,Poor
389,24,Male,High School,Good
390,16,Female,Postgraduate,Average
391,18,Other,High School,Average
392,19,Female,High School,Poor
393,23,Male,High School,Poor
394,25,Other,Postgraduate,Good
395,18,Male,Postgraduate,Poor
396,23,Other,Postgraduate,Good
397,25,Other,Undergraduate,Good
398,23,Male,High School,Good
399,17,Male,High School,Poor
400,20,Male,Postgraduate,Poor
401,23,Male,Postgraduate,Average
402,20,Female,Postgraduate,Good
403,23,Male,Postgraduate,Poor
404,24,Other,Postgraduate,Average
405,16,Female,Postgraduate,Good
406,18,Female,Postgraduate,Poor
407,23,Female,Postgraduate,Average
408,20,Female,High School,Good
409,19,Female,High School,Average
410,23,Female,Postgraduate,Good
411,19,Other,Postgraduate,Average
412,23,Other,Undergraduate,Good
413,16,Other,Postgraduate,Good
414,23,Male,Postgraduate,Average
415,22,Male,Postgraduate,Average
416,24,Female,Undergraduate,Good
417,22,Male,Postgraduate,Average
418,24,Other,Undergraduate,Average
419,16,Female,High School,Good
420,21,Male,Postgraduate,Poor
421,19,Female,Undergraduate,Good
422,18,Other,Postgraduate,Poor
423,20,Female,Postgraduate,Good
424,19,Male,High School,Poor
425,19,Other,Postgraduate,Average
426,25,Female,High School,Good
427,23,Female,High School,Good
428,17,Female,Postgraduate,Average
429,24,Other,Undergraduate,Poor
430,16,Male,Postgraduate,Average
431,17,Other,Postgraduate,Average
432,20,Female,Postgraduate,Average
433,23,Male,Undergraduate,Poor
434,18,Male,Undergraduate,Good
435,20,Other,Postgraduate,Average
436,24,Male,Postgraduate,Poor
437,19,Female,High School,Average
438,20,Male,Postgraduate,Poor
439,25,Male,Undergraduate,Good
440,22,Male,Undergraduate,Good
441,18,Male,High School,Average
442,23,Male,Undergraduate,Good
443,23,Female,Postgraduate,Average
444,23,Female,Postgraduate,Poor
445,20,Male,Postgraduate,Good
446,23,Male,Undergraduate,Poor
447,24,Male,High School,Average
448,20,Other,Undergraduate,Average
449,16,Other,Postgraduate,Average
450,23,Female,Undergraduate,Good
451,22,Other,Postgraduate,Average
452,19,Male,Undergraduate,Average
453,20,Male,Undergraduate,Good
454,17,Male,Postgraduate,Average
455,17,Female,High School,Average
456,23,Female,Undergraduate,Poor
457,18,Female,Undergraduate,Poor
458,23,Male,Undergraduate,Average
459,24,Other,High School,Poor
460,25,Male,High School,Poor
461,20,Other,Undergraduate,Poor
462,20,Female,High School,Good
463,20,Female,High School,Average
464,23,Male,Undergraduate,Poor
465,23,Other,High School,Poor
466,25,Other,Postgraduate,Average
467,25,Other,High School,Average
468,20,Other,High School,Good
469,17,Male,High School,Poor
470,21,Other,Postgraduate,Good
471,21,Female,High School,Good
472,24,Other,High School,Good
473,25,Other,High School,Good
474,21,Other,High School,Good
475,17,Female,Postgraduate,Average
476,16,Male,High School,Average
477,22,Female,Postgraduate,Poor
478,16,Male,Postgraduate,Average
479,25,Female,Postgraduate,Average
480,20,Male,Undergraduate,Average
481,22,Other,Postgraduate,Average
482,20,Other,Undergraduate,Good
483,21,Male,High School,Average
484,19,Female,Undergraduate,Good
485,20,Female,Undergraduate,Good
486,22,Female,High School,Good
487,18,Other,High School,Good
488,21,Female,Undergraduate,Good
489,18,Female,Postgraduate,Good
490,20,Female,Undergraduate,Good
491,19,Female,Postgraduate,Average
492,18,Other,Undergraduate,Poor
493,20,Male,High School,Poor
494,24,Female,Undergraduate,Poor
495,16,Male,Postgraduate,Good
496,22,Female,Postgraduate,Good
497,24,Other,Postgraduate,Good
498,24,Male,Postgraduate,Poor
499,21,Female,Undergraduate,Average
500,22,Female,High School,Good
501,21,Female,High School,Poor
502,22,Male,High School,Poor
503,16,Female,Undergraduate,Poor
504,20,Female,Undergraduate,Average
505,25,Male,High School,Good
506,16,Male,High School,Average
507,24,Other,Undergraduate,Average
508,16,Male,High School,Poor
509,21,Other,Postgraduate,Average
510,22,Female,Undergraduate,Good
511,22,Female,Undergraduate,Good
512,24,Female,Postgraduate,Good
513,24,Male,Postgraduate,Good
514,20,Other,Undergraduate,Good
515,20,Other,High School,Good
516,16,Female,Postgraduate,Average
517,17,Other,High School,Average
518,25,Female,Undergraduate,Poor
519,16,Male,Postgraduate,Average
520,23,Female,Postgraduate,Good
521,21,Male,Undergraduate,Average
522,20,Other,Undergraduate,Poor
523,23,Female,Postgraduate,Poor
524,18,Female,Postgraduate,Average
525,19,Male,Postgraduate,Average
526,21,Other,High School,Good
527,21,Male,High School,Average
528,20,Male,Undergraduate,Good
529,18,Male,High School,Good
530,22,Male,Postgraduate,Average
531,25,Other,Postgraduate,Average
532,23,Other,Undergraduate,Poor
533,25,Female,Undergraduate,Poor
534,20,Female,Postgraduate,Good
535,25,Female,High School,Good
536,22,Female,High School,Average
537,21,Male,Undergraduate,Poor
538,23,Male,Postgraduate,Poor
539,19,Other,Postgraduate,Good
540,25,Male,Postgraduate,Poor
541,17,Other,Undergraduate,Good
542,19,Other,High School,Poor
543,25,Female,Undergraduate,Poor
544,19,Female,High School,Good
545,24,Other,High School,Poor
546,19,Other,Undergraduate,Poor
547,21,Male,High School,Good
548,22,Female,High School,Average
549,23,Other,Undergraduate,Good
550,22,Other,Undergraduate,Poor
551,21,Male,Postgraduate,Good
552,23,Other,Postgraduate,Poor
553,17,Other,Undergraduate,Good
554,17,Female,Postgraduate,Average
555,22,Male,High School,Good
556,22,Female,High School,Average
557,20,Other,High School,Good
558,25,Other,High School,Poor
559,16,Male,Undergraduate,Poor
560,25,Male,Undergraduate,Good
561,19,Female,Postgraduate,Average
562,24,Female,Undergraduate,Poor
563,21,Female,High School,Average
564,19,Other,Postgraduate,Poor
565,19,Other,Undergraduate,Average
566,24,Female,High School,Poor
567,23,Female,Undergraduate,Poor
568,16,Other,Postgraduate,Poor
569,17,Female,Postgraduate,Poor
570,23,Male,Postgraduate,Good
571,18,Male,Postgraduate,Poor
572,19,Other,High School,Good
573,21,Other,High School,Good
574,21,Other,High School,Average
575,16,Other,High School,Average
576,18,Male,Undergraduate,Average
577,21,Female,Undergraduate,Average
578,24,Other,High School,Good
579,25,Male,Postgraduate,Average
580,23,Male,High School,Good
581,25,Female,High School,Good
582,23,Male,Postgraduate,Average
583,20,Female,Postgraduate,Poor
584,21,Male,High School,Good
585,17,Female,High School,Poor
586,24,Female,Undergraduate,Poor
587,22,Male,Postgraduate,Poor
588,24,Other,Postgraduate,Poor
589,20,Other,Postgraduate,Average
590,18,Female,Postgraduate,Good
591,23,Female,Postgraduate,Average
592,17,Male,Postgraduate,Poor
593,22,Female,Undergraduate,Average
594,18,Other,Postgraduate,Good
595,22,Other,High School,Average
596,21,Female,Postgraduate,Poor
597,22,Female,Postgraduate,Good
598,16,Other,High School,Poor
599,19,Other,Postgraduate,Poor
600,18,Other,Undergraduate,Good
601,18,Male,High School,Good
602,25,Male,Undergraduate,Average
603,23,Female,Undergraduate,Average
604,21,Other,High School,Average
605,21,Other,Undergraduate,Good
606,16,Male,Undergraduate,Good
607,16,Male,Postgraduate,Average
608,25,Female,Postgraduate,Poor
609,19,Female,Undergraduate,Poor
610,23,Other,Postgraduate,Good
611,17,Female,High School,Good
612,24,Female,High School,Good
613,18,Other,High School,Poor
614,21,Female,High School,Poor
615,16,Female,Postgraduate,Good
616,17,Female,High School,Average
617,16,Male,High School,Poor
618,23,Male,High School,Good
619,23,Male,High School,Poor
620,21,Other,Undergraduate,Good
621,24,Male,Postgraduate,Poor
622,17,Other,Postgraduate,Average
623,21,Female,Postgraduate,Good
624,22,Other,High School,Poor
625,23,Female,High School,Good
626,16,Male,Postgraduate,Good
627,22,Other,Undergraduate,Poor
628,20,Male,High School,Average
629,17,Other,Postgraduate,Poor
630,20,Other,High School,Poor
631,18,Female,Undergraduate,Average
632,18,Other,High School,Average
633,17,Other,Undergraduate,Good
634,16,Male,High School,Good
635,25,Other,Undergraduate,Average
636,17,Female,Undergraduate,Average
637,17,Female,High School,Good
638,22,Female,Postgraduate,Good
639,22,Other,Undergraduate,Poor
640,19,Other,Undergraduate,Poor
641,25,Male,Postgraduate,Good
642,22,Female,Undergraduate,Good
643,23,Other,High School,Poor
644,23,Female,High School,Poor
645,22,Male,High School,Good
646,17,Male,Postgraduate,Poor
647,25,Female,High School,Good
648,19,Male,Undergraduate,Average
649,23,Female,Postgraduate,Good
650,18,Other,High School,Poor
651,19,Female,High School,Good
652,24,Male,High School,Good
653,16,Female,Postgraduate,Poor
654,19,Other,Postgraduate,Poor
655,19,Male,Postgraduate,Good
656,25,Female,Undergraduate,Poor
657,24,Male,High School,Average
658,22,Female,High School,Good
659,19,Female,Undergraduate,Poor
660,23,Other,High School,Average
661,21,Female,Undergraduate,Poor
662,24,Other,High School,Poor
663,20,Female,High School,Good
664,24,Other,High School,Poor
665,21,Other,High School,Average
666,17,Other,Undergraduate,Good
667,23,Female,Postgraduate,Average
668,18,Female,Postgraduate,Good
669,23,Other,Postgraduate,Poor
670,24,Other,High School,Poor
671,17,Female,Postgraduate,Good
672,23,Female,Postgraduate,Good
673,17,Other,Postgraduate,Good
674,24,Female,Undergraduate,Poor
675,17,Female,High School,Good
676,25,Other,Undergraduate,Poor
677,18,Other,High School,Good
678,19,Female,Postgraduate,Average
679,20,Other,Undergraduate,Average
680,18,Other,Postgraduate,Good
681,16,Male,High School,Poor
682,23,Other,High School,Good
683,21,Other,Undergraduate,Poor
684,25,Male,Postgraduate,Good
685,24,Other,Undergraduate,Poor
686,21,Male,Undergraduate,Good
687,16,Other,Undergraduate,Average
688,21,Other,High School,Average
689,21,Other,Postgraduate,Good
690,17,Female,Postgraduate,Good
691,19,Male,Postgraduate,Poor
692,24,Male,High School,Poor
693,16,Other,Postgraduate,Average
694,24,Other,High School,Good
695,16,Female,Undergraduate,Average
696,16,Other,Undergraduate,Poor
697,25,Male,Undergraduate,Average
698,18,Other,Postgraduate,Average
699,21,Female,Undergraduate,Average
700,17,Other,Postgraduate,Good
701,18,Other,Undergraduate,Average
702,19,Male,Postgraduate,Poor
703,16,Male,High School,Poor
704,22,Male,Undergraduate,Average
705,23,Other,Postgraduate,Average
706,19,Female,Undergraduate,Poor
707,25,Female,Undergraduate,Poor
708,23,Female,Postgraduate,Poor
709,25,Male,Postgraduate,Poor
710,20,Male,Undergraduate,Good
711,24,Male,Undergraduate,Poor
712,16,Female,Postgraduate,Good
713,25,Male,Undergraduate,Good
714,23,Other,High School,Good
715,16,Female,Postgraduate,Average
716,16,Female,Undergraduate,Average
717,18,Female,Postgraduate,Average
718,20,Female,Undergraduate,Poor
719,25,Female,Postgraduate,Good
720,17,Female,Undergraduate,Good
721,25,Female,High School,Average
722,21,Female,Postgraduate,Poor
723,24,Female,Postgraduate,Average
724,21,Female,Undergraduate,Good
725,22,Male,Undergraduate,Average
726,24,Female,High School,Good
727,20,Other,High School,Average
728,24,Other,High School,Poor
729,20,Other,Undergraduate,Good
730,17,Male,High School,Average
731,19,Male,Postgraduate,Good
732,18,Female,Postgraduate,Poor
733,23,Other,Undergraduate,Average
734,16,Female,High School,Average
735,22,Male,High School,Poor
736,18,Female,High School,Average
737,23,Female,Postgraduate,Average
738,19,Female,High School,Poor
739,22,Male,High School,Average
740,20,Other,Undergraduate,Good
741,18,Female,Postgraduate,Good
742,22,Male,Undergraduate,Poor
743,25,Male,Undergraduate,Poor
744,25,Other,Undergraduate,Average
745,20,Male,High School,Average
746,23,Male,Postgraduate,Poor
747,16,Female,High School,Poor
748,19,Other,Postgraduate,Poor
749,19,Male,Postgraduate,Average
750,17,Other,High School,Good
751,18,Male,Undergraduate,Good
752,17,Female,Postgraduate,Good
753,19,Other,Postgraduate,Good
754,16,Male,Undergraduate,Poor
755,20,Male,High School,Average
756,23,Male,High School,Poor
757,20,Female,Postgraduate,Poor
758,20,Female,High School,Poor
759,23,Male,High School,Poor
760,22,Male,Postgraduate,Good
761,19,Male,Undergraduate,Good
762,19,Male,Postgraduate,Good
763,25,Male,High School,Good
764,22,Female,Undergraduate,Poor
765,23,Female,Undergraduate,Good
766,20,Male,Undergraduate,Average
767,25,Other,Undergraduate,Average
768,17,Male,High School,Poor
769,23,Female,Undergraduate,Good
770,20,Male,High School,Poor
771,16,Male,Undergraduate,Good
772,17,Male,Undergraduate,Poor
773,18,Male,High School,Poor
774,19,Male,Postgraduate,Average
775,25,Male,High School,Poor
776,16,Other,High School,Good
777,22,Male,Postgraduate,Average
778,24,Other,Postgraduate,Good
779,18,Female,Postgraduate,Average
780,20,Other,High School,Poor
781,17,Male,High School,Good
782,25,Other,Undergraduate,Poor
783,22,Male,Postgraduate,Good
784,16,Other,Postgraduate,Good
785,19,Male,High School,Poor
786,21,Male,High School,Good
787,18,Female,High School,Average
788,25,Male,High School,Average
789,22,Female,High School,Average
790,23,Male,Undergraduate,Poor
791,25,Female,High School,Average
792,21,Male,Postgraduate,Poor
793,23,Female,Undergraduate,Good
794,21,Male,Undergraduate,Poor
795,20,Male,Postgraduate,Poor
796,20,Male,Undergraduate,Average
797,23,Male,Postgraduate,Good
798,24,Female,Postgraduate,Average
799,16,Female,Undergraduate,Good
800,18,Male,Undergraduate,Poor
801,18,Other,High School,Poor
802,16,Other,High School,Average
803,23,Male,Undergraduate,Poor
804,17,Female,Postgraduate,Poor
805,17,Other,High School,Average
806,16,Female,Undergraduate,Good
807,18,Male,High School,Poor
808,23,Other,Undergraduate,Average
809,21,Female,Postgraduate,Average
810,25,Other,Postgraduate,Good
811,19,Male,Postgraduate,Average
812,19,Male,Postgraduate,Average
813,22,Male,Undergraduate,Good
814,21,Female,Postgraduate,Good
815,20,Female,Undergraduate,Average
816,24,Other,Undergraduate,Poor
817,25,Male,Undergraduate,Poor
818,22,Female,Undergraduate,Average
819,20,Other,High School,Good
820,24,Other,Undergraduate,Average
821,16,Other,High School,Good
822,22,Male,Undergraduate,Good
823,20,Male,High School,Poor
824,25,Female,Postgraduate,Good
825,16,Other,Undergraduate,Poor
826,16,Other,Undergraduate,Poor
827,21,Male,Undergraduate,Poor
828,24,Male,High School,Average
829,16,Female,Undergraduate,Good
830,24,Male,High School,Poor
831,17,Other,Postgraduate,Poor
832,22,Other,High School,Average
833,20,Male,High School,Good
834,23,Male,Undergraduate,Poor
835,18,Female,High School,Good
836,21,Female,Postgraduate,Average
837,20,Male,High School,Average
838,22,Other,High School,Good
839,19,Other,High School,Average
840,16,Female,Undergraduate,Good
841,20,Other,Undergraduate,Good
842,25,Male,High School,Average
843,25,Other,Undergraduate,Good
844,16,Male,Undergraduate,Good
845,18,Other,High School,Poor
846,23,Other,High School,Poor
847,22,Female,Postgraduate,Good
848,16,Other,Undergraduate,Good
849,19,Male,Undergraduate,Poor
850,22,Female,High School,Average
851,20,Female,Undergraduate,Average
852,17,Other,Undergraduate,Average
853,21,Female,High School,Good
854,19,Male,High School,Good
855,24,Male,Undergraduate,Good
856,25,Male,Postgraduate,Average
857,16,Other,Postgraduate,Poor
858,24,Male,High School,Poor
859,25,Female,High School,Good
860,23,Other,High School,Poor
861,18,Male,Postgraduate,Poor
862,20,Other,High School,Poor
863,16,Female,High School,Good
864,24,Female,High School,Average
865,19,Other,High School,Good
866,18,Male,High School,Good
867,19,Female,High School,Poor
868,22,Other,High School,Average
869,18,Female,Undergraduate,Good
870,24,Male,Undergraduate,Average
871,21,Other,Undergraduate,Average
872,20,Male,Postgraduate,Poor
873,20,Other,Postgraduate,Poor
